gameNumber,numberTentatives,totalTime,correctWord
1,793,1744.1324071884155,educação
2,29,70.35820150375366,hotel
3,172,243.9460361003876,trocar
4,788,1692.463496685028,romance
5,305,599.0105502605438,eterno
6,635,1016.6023080348969,porta
7,755,1463.2772731781006,clube
8,100,181.16962838172915,dispositivo
9,138,251.96875095367432,geologia
10,203,295.3870937824249,bonito
11,120,166.41209506988525,veículo
12,94,205.4557268619537,paciente
13,15,34.11588406562805,sol
14,32,56.331828117370605,retangular
15,132,167.8941593170166,torre
16,64,124.49368715286256,cozinha
17,128,195.02308177948,estrada
18,621,982.6866674423218,computador
19,45,98.32026171684264,gelada
20,141,220.6710638999939,vegetação
21,160,286.7357804775238,sabonete
22,110,169.1843376159668,cama
23,29,54.33887982368469,local
24,427,545.4188210964203,mochila
25,13,29.887337684631348,cão
26,34,63.70346164703369,sopa
27,154,200.5936663150788,azul
28,482,794.268141746521,funeral
29,42,94.33910942077635,cerveja
30,1500,1524.4035017490387,morrer
31,1500,1978.698401927948,administração
32,18,37.00701355934143,tratamento
33,34,65.14066648483276,pescoço
34,1500,2454.097865104676,iniciar
35,1500,1668.4791927337646,distinguir
36,1500,1625.926448583603,espetacular
37,1500,1764.4699120521543,solicitado
38,912,1482.459998369217,hora
39,249,317.8566677570343,manhã
40,36,75.43525314331055,réptil
41,123,204.0393443107605,jantar
42,79,107.90895223617554,parede
43,430,689.7850229740143,queijo
44,20,38.94096350669861,mar
45,1500,2268.773695230484,sintoma
46,45,71.65016436576843,trave
47,1500,2310.6990509033203,plataforma
48,492,656.4655175209045,pulso
49,1500,1794.0488457679749,porcaria
50,218,375.8639187812805,refrigeração
51,36,75.085866689682,queixo
52,279,358.7852258682251,oponente
53,304,395.9344825744629,cordão
54,1500,1852.29980802536,grande
55,153,201.18694591522217,sombra
56,41,76.66397666931152,cozinha
57,715,1250.8824594020844,aprender
58,67,102.58771562576294,dente
59,80,108.28078818321228,pescoço
60,496,908.6651120185852,eleitor
61,489,607.2045812606812,violão
62,380,540.5675942897797,orar
63,1500,2153.805188179016,irritação
64,55,129.17499828338623,supermercado
65,1500,2852.7793505191803,utilização
66,138,252.03121256828308,território
67,1500,1644.833244085312,fofoqueiro
68,206,555.8479297161102,membrana
69,1500,2245.2274680137634,específico
70,453,819.6620876789093,médico
71,34,69.48719882965088,parque
72,46,86.66388249397278,poeira
73,42,80.21311259269714,aroma
74,184,367.2806992530823,joelho
75,505,926.6843631267548,combustão
76,110,144.7073016166687,sombra
77,256,406.3838367462158,documentação
78,508,1250.0994713306427,amor
79,19,35.90322208404541,frio
80,1500,2141.333158016205,comunicação
81,196,408.1583371162415,social
82,1500,2158.705905914306,parlamento
83,1500,2160.8780591487885,esclarecer
84,1500,2065.07373046875,personalidade
85,94,167.55415439605713,sul
86,1500,2347.7981367111206,avaliação
87,174,371.2210764884949,perguntar
88,104,202.6361210346222,terceiro
89,1500,2120.014071702957,famoso
90,651,1322.9434220790863,explicação
91,156,219.5649712085724,eterno
92,873,2203.3863077163696,entender
93,1500,2140.396234512329,concessão
94,249,434.5592839717865,segunda
95,1500,2194.815769433975,melhor
96,1500,1951.46724653244,constitucional
97,39,60.455188274383545,lugar
98,15,33.35191345214844,local
99,496,1145.0213117599487,reunião
100,1500,2141.65025472641,propósito
101,442,697.0364110469818,mãe
102,273,550.0693490505219,gratuito
103,303,499.8014771938324,alimentar
104,1500,1774.2063703536987,consumidor
105,1500,2091.8964388370514,identificar
106,325,490.1131827831268,hospital
107,220,344.3172965049744,drama
108,3,22.306417226791385,corpo
109,72,182.6469299793244,web
110,1500,2242.612732887268,popular
111,361,614.8109748363495,comprar
112,1500,2133.3666472435,evocação
113,33,56.40556883811951,calor
114,363,568.4107437133789,quarto
115,270,422.47742652893066,elegância
116,372,604.0005443096161,amor
117,20,46.777878522872925,almoço
118,182,321.0038278102875,disputa
119,1500,2142.9622337818146,fabricante
120,865,2069.464926481247,cultural
121,1500,2559.351026058197,fácil
122,36,82.92619442939758,pão
123,31,46.29910707473755,local
124,5,22.08602452278137,sol
125,1500,1946.4228429794312,definir
126,60,97.65717601776124,gelada
127,80,121.5934443473816,barco
128,1500,1781.8848264217377,irrelevante
129,1500,1828.6059401035309,necessariamente
130,47,82.05129051208496,escada
131,200,317.7419857978821,casaco
132,70,130.0887269973755,abacaxi
133,44,69.97594976425171,punho
134,87,146.17411756515503,humano
135,226,326.2918472290039,ribeira
136,1500,1723.811338186264,consolidado
137,1500,1605.3247175216677,definitivamente
138,1500,1961.938040971756,geralmente
139,361,569.2273626327515,caminhonete
140,113,173.85874128341675,porco
141,50,88.89916801452637,apartamento
142,59,133.7717583179474,pensamento
143,131,205.6395401954651,cão
144,55,97.00832748413086,constitucional
145,111,171.76743078231812,cabra
146,70,100.48329830169678,zodíaco
147,1500,1626.3386068344116,destilação
148,504,877.2341148853302,lembrança
149,104,178.3934154510498,visitado
150,364,605.1653730869293,análise
151,710,1124.5892140865326,montanha
152,47,82.10663270950317,cabelo
153,19,38.762192249298096,corpo
154,105,194.89782047271729,arroz
155,107,176.8356418609619,cama
156,22,66.33740329742432,cerveja
157,1500,1853.459254026413,organizador
158,1500,2027.595784187317,gradiente
159,11,22.061102151870728,tratamento
160,1500,1686.375537633896,azul
161,55,86.50317692756653,parque
162,1500,1612.325682401657,contar
163,1500,1899.3250710964203,acusar
164,118,182.5579068660736,historiador
165,1500,2232.402614593506,utilizado
